,mmu00010,mmu00030,mmu00051,mmu00240,mmu00250,mmu00410,mmu00430,mmu00511,mmu00513,mmu00520,mmu00531,mmu00600,mmu00603,mmu00604,mmu00650,mmu01100,mmu01200,mmu01230,mmu01232,mmu01240,mmu01521,mmu04010,mmu04014,mmu04015,mmu04020,mmu04022,mmu04024,mmu04060,mmu04066,mmu04070,mmu04072,mmu04080,mmu04114,mmu04142,mmu04144,mmu04145,mmu04148,mmu04151,mmu04210,mmu04218,mmu04270,mmu04310,mmu04350,mmu04371,mmu04380,mmu04390,mmu04510,mmu04512,mmu04540,mmu04550,mmu04610,mmu04611,mmu04621,mmu04625,mmu04630,mmu04710,mmu04714,mmu04720,mmu04721,mmu04723,mmu04724,mmu04725,mmu04726,mmu04727,mmu04728,mmu04730,mmu04750,mmu04810,mmu04814,mmu04912,mmu04915,mmu04918,mmu04919,mmu04921,mmu04922,mmu04924,mmu04925,mmu04926,mmu04927,mmu04928,mmu04929,mmu04934,mmu04935,mmu04940,mmu04970,mmu04971,mmu04972,mmu05010,mmu05012,mmu05017,mmu05020,mmu05022,mmu05032,mmu05033,mmu05034,mmu05152,mmu05163,mmu05165,mmu05167,mmu05170,mmu05200,mmu05202,mmu05205,mmu05206,mmu05214,mmu05215,mmu05217,mmu05218,mmu05230,mmu05231,mmu05323,mmu05418
cell_1274,-0.8125,-0.8125,-0.8125,-0.9375,-0.5,-0.5,-0.5,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.5,-0.79310346,-0.8125,-0.8125,-0.9375,-0.9375,0.125,0.3548387,0.3548387,0.56462586,0.16666667,-0.25,-0.3983871,0.4375,-0.26539588,-0.25,0.125,0.55731595,-0.25,-0.6875,0.125,-0.875,-0.375,0.06666667,-0.25,-0.25,-0.4516129,0.625,0.4375,0.3151515,-0.25,0.4375,0.06666667,-0.4375,-0.06451613,0.4375,-0.4375,-0.25,-0.25,-0.25,0.06451613,0.1875,0.75,-0.25,0.9375,0.75555557,-0.25,-0.25,-0.25,0.57363254,-0.25,-0.09677419,-0.25,0.125,-0.625,-0.25,-0.25,0.60056925,0.4375,-0.25,-0.25,-0.25,-0.25,-0.625,-0.25,0.032258064,-0.25,-0.09677419,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.9375,0.9375,0.0625,-0.875,-0.06451613,-0.4375,-0.25,-0.25,0.29032257,0.5625,-0.3548387,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_1464,-0.75,-0.75,-0.75,-0.9375,1.0,1.0,1.0,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,1.0,-0.27391022,-0.75,-0.75,-0.9375,-0.9375,0.125,0.3548387,0.3548387,0.06666667,0.2,-0.1875,-0.3172043,0.4375,-0.1920123,-0.1875,0.125,0.15517241,-0.1875,-0.6875,0.125,-0.8125,-0.3125,0.1,-0.1875,-0.1875,-0.41935483,-0.875,0.4375,0.25686276,-0.1875,0.4375,0.1,-0.375,-0.032258064,0.4375,-0.375,-0.1875,-0.1875,-0.1875,0.5752688,0.1875,-0.4375,-0.1875,0.875,0.48368794,-0.1875,-0.1875,-0.1875,0.9677419,-0.1875,-0.06451613,-0.1875,0.125,-0.625,-0.1875,-0.1875,0.49884793,0.4375,-0.1875,-0.1875,-0.1875,-0.1875,-0.625,-0.1875,0.06451613,-0.1875,-0.06451613,-0.1875,1.0,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,0.875,0.875,0.0625,-0.8125,-0.032258064,-0.375,-0.1875,-0.1875,0.29032257,0.5625,-0.29032257,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_1263,-0.75,-0.75,-0.75,-0.9375,0.875,0.875,0.875,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,0.875,-0.3510345,-0.75,-0.75,-0.9375,-0.9375,0.1875,0.41935483,0.41935483,0.11219512,0.24848485,-0.1875,0.49884793,0.5,-0.109970674,-0.1875,0.1875,0.4939148,-0.1875,-0.625,0.1875,-0.8125,0.75,0.16756757,-0.1875,-0.1875,-0.38709676,-0.875,0.5,0.33741498,-0.1875,0.5,0.16756757,-0.3125,3.330669e-16,0.5,-0.3125,-0.1875,-0.1875,-0.1875,0.12903225,0.25,-0.4375,-0.1875,1.0,0.64705884,-0.1875,-0.1875,-0.1875,0.9677419,-0.1875,-0.032258064,-0.1875,0.1875,-0.5625,-0.1875,-0.1875,-0.29032257,0.5,-0.1875,-0.1875,-0.1875,-0.1875,-0.5625,-0.1875,0.09677419,-0.1875,-0.032258064,-0.1875,0.875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,1.0,1.0,0.125,-0.8125,3.330669e-16,-0.3125,-0.1875,-0.1875,0.3548387,0.625,-0.2580645,0.1875,0.1875,0.1875,0.5,0.1875,0.1875,0.1875,0.625,0.5
cell_1277,-0.8125,-0.8125,-0.8125,0.5,1.0,1.0,1.0,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,1.0,0.055392515,-0.8125,-0.8125,0.5,0.5,0.0625,0.2580645,0.2580645,-0.033333335,0.1,-0.25,0.8064516,0.3125,-0.43145162,-0.25,0.0625,0.28526646,-0.25,-0.625,0.0625,-0.875,-0.375,5.551115e-17,-0.25,-0.25,-0.41935483,-0.9375,0.3125,-0.5,-0.25,0.3125,5.551115e-17,-0.4375,-0.09677419,0.3125,-0.4375,-0.25,-0.25,-0.25,0.032258064,0.125,-0.5,-0.25,0.9375,0.5031447,-0.25,-0.25,-0.25,1.0,-0.25,0.67652327,-0.25,0.0625,-0.5625,-0.25,-0.25,0.5231855,0.3125,-0.25,-0.25,-0.25,-0.25,-0.5625,-0.25,2.220446e-16,-0.25,0.67652327,-0.25,1.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.9375,0.9375,0.875,-0.875,-0.09677419,-0.4375,-0.25,-0.25,0.19354838,0.4375,-0.3548387,0.0625,0.0625,0.0625,0.3125,0.0625,0.0625,0.0625,0.4375,0.3125
cell_6337,0.625,0.625,0.625,-0.9375,0.9375,0.9375,0.9375,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.9375,0.3388594,0.625,0.625,-0.9375,-0.9375,0.25,0.41935483,0.41935483,0.53333336,0.30322582,-0.125,-0.12903225,0.5,0.61290324,-0.125,0.25,0.028556034,-0.125,0.6875,0.25,-0.8125,-0.25,0.15675676,-0.125,-0.125,-0.3983871,-0.875,0.5,-0.52307695,-0.125,0.5,0.15675676,-0.3125,0.06451613,0.5,-0.3125,-0.125,-0.125,-0.125,0.19354838,0.3125,0.75,-0.125,1.0,0.85081965,-0.125,-0.125,-0.125,1.0,-0.125,0.032258064,-0.125,0.25,-0.5625,-0.125,-0.125,-0.2580645,0.5,-0.125,-0.125,-0.125,-0.125,-0.5625,-0.125,0.25268817,-0.125,0.032258064,-0.125,0.9375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1.0,1.0,0.1875,-0.8125,0.06451613,-0.3125,-0.125,-0.125,0.38709676,0.5625,-0.22580644,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5625,0.5
cell_4303,-0.9375,-0.9375,-0.9375,-1.0,0.75,0.75,0.75,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,0.75,-0.5627847,-0.9375,-0.9375,-1.0,-1.0,0.25,0.4516129,0.4516129,0.13100775,0.34242424,-0.125,-0.16568916,0.5,-0.3212903,-0.125,0.25,-0.5,-0.125,-0.6875,0.25,0.9375,-0.25,0.2025641,-0.125,-0.125,-0.47653958,0.875,0.5,-0.6333333,-0.125,0.5,0.2025641,-0.3125,0.06451613,0.5,-0.3125,-0.125,-0.125,-0.125,0.19354838,0.3125,-0.4375,-0.125,1.0,0.67346936,-0.125,-0.125,-0.125,0.9032258,-0.125,0.032258064,-0.125,0.25,-0.625,-0.125,-0.125,-0.2580645,0.5,-0.125,-0.125,-0.125,-0.125,-0.625,-0.125,0.7064516,-0.125,0.032258064,-0.125,0.75,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1.0,1.0,0.1875,0.9375,0.06451613,-0.3125,-0.125,-0.125,0.38709676,0.625,-0.22580644,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.625,0.5
cell_2071,0.5,0.5,0.5,-1.0,0.9375,0.9375,0.9375,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,0.9375,-0.15652467,0.5,0.5,-1.0,-1.0,0.0,0.28341013,0.28341013,-0.26666668,5.551115e-17,-0.375,0.7034739,0.25,0.4516129,-0.375,0.0,-0.29166666,-0.375,-0.75,0.0,0.5625,-0.5,-0.1,-0.375,-0.375,0.35388994,-0.9375,0.25,-0.10056497,-0.375,0.25,-0.1,-0.5625,-0.2715054,0.25,-0.5625,-0.375,-0.375,-0.375,-0.06451613,0.0625,-0.6875,-0.375,1.0,0.31538463,-0.375,-0.375,-0.375,1.0,-0.375,-0.2715054,-0.375,0.0,0.6875,-0.375,-0.375,-0.516129,0.25,-0.375,-0.375,-0.375,-0.375,0.6875,-0.375,0.5169779,-0.375,-0.2715054,-0.375,0.9375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,1.0,1.0,-0.0625,0.5625,-0.2715054,-0.5625,-0.375,-0.375,0.12903225,0.375,-0.48387095,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,0.25
cell_1416,-0.8125,-0.8125,-0.8125,-0.9375,-0.375,-0.375,-0.375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.375,-0.734162,-0.8125,-0.8125,-0.9375,-0.9375,0.8125,0.7419355,0.7419355,0.52021855,0.6745098,-0.125,-0.16568916,0.5,-0.18373072,-0.125,0.8125,-0.5,-0.125,-0.6875,0.8125,-0.875,-0.25,0.5754386,-0.125,-0.125,-0.47653958,0.6875,0.5,-0.6333333,-0.125,0.5,0.5754386,-0.3125,0.7064516,0.5,-0.3125,-0.125,-0.125,-0.125,0.6502016,0.25,-0.4375,-0.125,1.0,0.67346936,-0.125,-0.125,-0.125,0.75,-0.125,0.032258064,-0.125,0.8125,-0.625,-0.125,-0.125,0.6347926,0.5,-0.125,-0.125,-0.125,-0.125,-0.625,-0.125,0.16733871,-0.125,0.032258064,-0.125,-0.375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1.0,1.0,0.1875,-0.875,0.7064516,-0.3125,-0.125,-0.125,0.67741936,0.625,-0.22580644,0.8125,0.8125,0.8125,0.5,0.8125,0.8125,0.8125,0.625,0.5
cell_993,-0.75,-0.75,-0.75,-0.9375,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.13310345,-0.75,-0.75,-0.9375,-0.9375,0.25,0.48387095,0.48387095,0.2871795,0.4,0.0625,-0.06451613,0.5625,-0.032258064,0.0625,0.25,-0.2387931,0.0625,-0.5,0.25,-0.8125,-0.0625,0.3809524,0.0625,0.0625,-0.23185484,-0.875,0.5625,-0.4090909,0.0625,0.5625,0.3809524,-0.125,0.16129032,0.5625,-0.125,0.0625,0.0625,0.0625,0.63412565,0.3125,-0.25,0.0625,0.9375,0.6894309,0.0625,0.0625,0.0625,1.0,0.0625,0.12903225,0.0625,0.25,-0.4375,0.0625,0.0625,-0.06451613,0.5625,0.0625,0.0625,0.0625,0.0625,-0.4375,0.0625,0.2580645,0.0625,0.12903225,0.0625,1.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.9375,0.9375,0.1875,-0.8125,0.16129032,-0.125,0.0625,0.0625,0.41935483,0.6875,-0.032258064,0.25,0.25,0.25,0.5625,0.25,0.25,0.25,0.6875,0.5625
cell_1273,-0.8125,-0.8125,-0.8125,-0.9375,1.0,1.0,1.0,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,1.0,-0.28544062,-0.8125,-0.8125,-0.9375,-0.9375,0.125,0.32258064,0.32258064,1.6653345e-16,0.4888889,0.6875,0.48790324,0.375,-0.35176653,0.6875,0.125,-0.23359288,0.6875,-0.6875,0.125,0.9375,-0.3125,0.06666667,0.6875,0.6875,0.12749615,-0.875,0.375,-0.2923077,0.6875,0.375,0.06666667,-0.375,0.49884793,0.375,-0.375,0.6875,0.6875,0.6875,0.06451613,0.1875,-0.5,0.6875,0.75,0.4952381,0.6875,0.6875,0.6875,0.9032258,0.6875,0.5620347,0.6875,0.125,-0.625,0.6875,0.6875,0.31630823,0.375,0.6875,0.6875,0.6875,0.6875,-0.625,0.6875,0.516129,0.6875,0.5620347,0.6875,1.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.75,0.75,0.0625,0.9375,0.49884793,-0.375,0.6875,0.6875,0.2580645,0.5,0.35388994,0.125,0.125,0.125,0.375,0.125,0.125,0.125,0.5,0.375
cell_6195,-0.8125,-0.8125,-0.8125,0.625,0.9375,0.9375,0.9375,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.9375,0.46551725,-0.8125,-0.8125,0.625,0.625,0.125,0.3548387,0.3548387,0.06666667,0.23703703,-0.125,0.6347926,0.4375,-0.26539588,-0.125,0.125,0.021264369,-0.125,0.6875,0.125,-0.875,-0.25,0.13333334,-0.125,-0.125,-0.3983871,-0.9375,0.4375,-0.52307695,-0.125,0.4375,0.13333334,-0.3125,3.330669e-16,0.4375,-0.3125,-0.125,-0.125,-0.125,0.7239089,0.1875,-0.4375,-0.125,1.0,0.67346936,-0.125,-0.125,-0.125,1.0,-0.125,-0.032258064,-0.125,0.125,-0.5625,-0.125,-0.125,-0.2580645,0.4375,-0.125,-0.125,-0.125,-0.125,-0.5625,-0.125,0.09677419,-0.125,-0.032258064,-0.125,0.9375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1.0,1.0,0.0625,-0.875,3.330669e-16,-0.3125,-0.125,-0.125,0.29032257,0.5625,-0.22580644,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
